student_id,module_code,programme,attendance_pct,formative_avg,missed_submissions,moodle_logins_per_week,quiz_avg,prev_module_avg,assignment_completion_pct,risk_level
BC000026,AIN371,BICT,100.0,100.0,0,9.7,94.3,93.9,100.0,low
BC000027,AIN371,DipICT,55.0,45.2,5,2.7,37.8,56.5,40.0,high
BC000028,PRG381,BICT,70.0,44.8,1,2.7,77.7,65.5,76.8,moderate
BC000029,MAT371,BICT-Hons,96.5,100.0,0,7.9,100.0,89.8,100.0,low
BC000030,DBS371,BICT-Hons,71.4,38.0,2,6.9,61.3,76.4,69.8,moderate
BC000031,NWD371,BICT-Hons,46.2,68.6,4,2.6,48.5,61.3,61.5,high
BC000032,DBS371,DipICT,76.0,88.7,2,2.3,82.3,70.5,82.5,moderate
BC000033,MAT371,BICT,88.8,84.3,0,5.0,76.1,79.2,92.9,low
BC000034,NWD371,BICT,85.9,52.7,3,7.9,71.3,73.2,76.7,moderate
BC000035,NWD371,BICT,59.2,28.5,0,5.5,15.0,25.0,40.0,high
BC000036,DBS371,DipICT,81.2,53.1,2,7.0,79.0,74.5,88.5,high
BC000037,NWD371,DipICT,57.3,57.2,2,4.0,49.9,64.4,42.5,moderate
BC000038,DBS371,BICT,30.0,40.5,4,1.0,44.6,31.1,40.0,high
BC000039,DBS371,BICT,52.4,62.9,2,2.2,54.8,50.1,41.4,high
BC000040,PRG381,BICT-Hons,49.2,47.8,3,7.4,49.5,39.3,75.7,high
BC000041,MAT371,BICT-Hons,74.2,75.6,1,6.0,69.8,83.7,70.3,low
BC000042,AIN371,BICT-Hons,64.7,47.5,1,4.9,62.9,93.0,88.8,moderate
BC000043,NWD371,DipICT,60.5,61.5,2,2.6,56.0,90.1,69.1,moderate
BC000044,AIN371,BICT,78.0,71.3,1,4.4,79.4,86.7,85.4,low
BC000045,PRG381,BICT-Hons,76.6,34.7,0,1.0,37.9,76.7,77.3,moderate
BC000046,MAT371,BICT,30.0,54.4,5,1.5,27.8,25.0,40.0,high
BC000047,AIN371,BICT-Hons,82.8,77.0,1,10.3,80.7,100.0,98.7,low
BC000048,MAT371,BICT-Hons,53.3,53.3,0,1.8,64.9,53.1,79.1,moderate
BC000049,PRG381,BICT-Hons,34.8,43.2,3,1.3,45.9,47.7,51.6,high
BC000050,NWD371,DipICT,99.5,91.2,0,5.9,76.3,84.9,100.0,low
BC000051,DBS371,BICT,69.3,63.9,0,3.2,57.6,55.8,47.0,moderate
BC000052,NWD371,BICT-Hons,58.8,31.1,5,3.7,34.6,60.1,79.5,high
BC000053,NWD371,DipICT,92.9,51.4,1,2.4,48.9,63.4,71.3,moderate
BC000054,PRG381,BICT,49.6,30.3,0,1.9,27.1,44.9,54.0,high
BC000055,DBS371,BICT,65.7,76.4,4,6.6,62.1,90.5,76.7,moderate
BC000056,MAT371,BICT-Hons,66.4,48.2,2,0.0,73.6,86.3,59.7,high
BC000057,MAT371,BICT,63.4,45.1,0,6.1,38.3,69.1,89.2,moderate
BC000058,DBS371,BICT,75.3,38.6,2,4.9,81.6,49.6,76.7,moderate
BC000059,PRG381,BICT-Hons,87.2,63.1,3,5.5,42.5,48.3,80.5,moderate
BC000060,PRG381,DipICT,85.0,66.8,0,8.1,78.3,100.0,89.0,low
BC000061,PRG381,DipICT,89.8,94.8,3,5.5,84.5,95.2,80.7,low
BC000062,PRG381,BICT-Hons,77.7,29.8,0,3.5,28.1,49.7,60.2,moderate
BC000063,PRG381,BICT-Hons,54.0,60.5,0,3.2,46.5,68.0,67.1,low
BC000064,AIN371,BICT-Hons,54.3,46.5,2,3.4,33.2,48.3,68.8,high
BC000065,PRG381,BICT,73.7,55.1,1,2.0,54.0,51.9,64.6,moderate
BC000066,AIN371,DipICT,81.7,78.7,0,1.1,77.4,81.6,65.2,high
BC000067,AIN371,BICT-Hons,100.0,86.2,2,6.0,62.8,100.0,100.0,low
BC000068,MAT371,BICT-Hons,90.5,84.0,0,7.8,84.4,85.5,89.2,high
BC000069,AIN371,BICT,71.0,70.0,3,4.2,28.6,50.6,54.4,high
BC000070,AIN371,BICT,90.4,76.3,0,5.8,61.4,61.4,61.0,moderate
BC000071,DBS371,BICT-Hons,82.4,47.7,0,8.0,83.4,85.0,81.1,low
BC000072,MAT371,BICT-Hons,79.7,88.2,3,6.3,64.5,63.2,80.7,moderate
BC000073,DBS371,BICT-Hons,69.8,73.1,0,3.5,60.4,86.9,66.1,low
BC000074,DBS371,BICT-Hons,70.8,63.8,3,3.2,57.5,56.4,64.5,high
BC000075,AIN371,BICT-Hons,93.5,100.0,0,11.2,88.3,94.1,100.0,low
BC000076,MAT371,BICT,71.0,49.3,1,4.6,55.0,54.6,65.8,moderate
BC000077,MAT371,BICT-Hons,68.2,54.8,2,7.9,54.6,70.1,77.1,low
BC000078,MAT371,DipICT,63.6,50.8,1,4.1,44.0,48.6,57.6,moderate
BC000079,DBS371,BICT-Hons,39.3,33.0,1,3.2,15.0,27.9,48.0,high
BC000080,AIN371,BICT,66.8,80.3,2,2.4,67.6,66.8,72.1,moderate
BC000081,AIN371,BICT,98.2,78.0,0,5.8,83.1,100.0,100.0,low
BC000082,AIN371,DipICT,100.0,89.8,0,3.1,75.2,72.0,91.6,low
BC000083,NWD371,DipICT,96.2,99.0,0,7.9,90.3,98.6,100.0,low
BC000084,AIN371,BICT-Hons,65.0,72.6,0,7.9,73.6,84.5,86.8,low
BC000085,AIN371,DipICT,68.7,20.0,3,5.9,41.6,51.1,81.4,high
BC000086,MAT371,BICT,74.9,87.6,3,2.7,58.6,56.1,82.2,moderate
BC000087,DBS371,BICT-Hons,71.1,72.0,2,4.5,42.0,68.7,76.0,moderate
BC000088,PRG381,DipICT,85.5,84.9,2,7.5,69.1,70.2,92.7,moderate
BC000089,MAT371,BICT-Hons,88.4,89.7,1,7.3,92.4,84.0,85.4,low
BC000090,MAT371,BICT,74.1,74.4,2,3.0,80.8,59.0,56.5,moderate
BC000091,MAT371,DipICT,67.5,61.1,1,6.1,68.1,73.2,52.7,moderate
BC000092,AIN371,DipICT,70.5,80.2,3,4.4,62.5,77.4,68.0,moderate
BC000093,AIN371,DipICT,67.4,60.5,2,3.1,54.7,39.2,63.1,moderate
BC000094,PRG381,BICT-Hons,100.0,47.4,0,5.9,69.0,68.1,79.1,low
BC000095,MAT371,DipICT,76.7,49.1,0,2.7,61.1,75.5,65.4,moderate
BC000096,MAT371,BICT,47.4,48.8,0,7.8,95.1,54.5,83.9,moderate
BC000097,PRG381,BICT-Hons,77.2,73.0,1,2.9,77.0,68.2,73.5,moderate
BC000098,AIN371,BICT-Hons,64.8,84.9,0,6.6,77.4,82.6,87.0,moderate
BC000099,MAT371,BICT,61.9,29.6,2,7.0,42.0,34.7,54.1,high
BC000100,AIN371,BICT,82.7,86.9,0,7.7,79.0,73.0,87.6,low
BC000101,AIN371,BICT-Hons,95.4,88.2,1,7.1,79.7,100.0,97.9,low
BC000102,MAT371,DipICT,69.5,65.6,1,1.5,55.5,65.7,80.5,moderate
BC000103,AIN371,DipICT,97.6,82.9,1,5.6,86.4,81.6,88.3,low
BC000104,NWD371,DipICT,34.5,38.6,3,8.6,64.2,38.8,48.1,high
BC000105,MAT371,BICT-Hons,56.3,62.1,2,6.0,65.7,47.4,79.8,high
BC000106,DBS371,BICT,53.3,60.4,1,5.1,81.8,76.9,70.3,moderate
BC000107,AIN371,BICT,84.7,81.4,0,5.8,74.2,88.6,100.0,low
BC000108,MAT371,BICT,51.3,42.6,1,6.3,45.5,52.7,55.8,moderate
BC000109,NWD371,DipICT,30.0,21.1,5,4.2,44.3,30.9,51.4,high
BC000110,AIN371,BICT-Hons,38.9,49.4,2,5.2,53.2,66.8,68.9,moderate
BC000111,PRG381,BICT-Hons,74.6,58.0,3,6.7,73.8,47.5,68.1,moderate
BC000112,MAT371,DipICT,81.2,100.0,0,8.4,74.9,86.2,80.1,low
BC000113,NWD371,BICT,65.4,61.6,1,7.3,44.6,56.9,54.2,high
BC000114,MAT371,DipICT,72.8,87.2,2,6.0,70.7,54.5,78.2,moderate
BC000115,PRG381,DipICT,67.3,62.0,1,7.3,44.1,59.6,64.0,moderate
BC000116,DBS371,BICT,46.1,44.3,4,2.1,15.4,43.4,40.0,high
BC000117,PRG381,DipICT,95.1,97.8,0,10.1,79.7,85.8,100.0,moderate
BC000118,AIN371,BICT-Hons,88.0,57.3,0,8.1,52.1,66.6,96.3,low
BC000119,PRG381,DipICT,100.0,100.0,1,6.1,95.5,98.2,95.6,low
BC000120,NWD371,BICT,66.1,82.7,1,6.9,50.1,74.1,97.0,moderate
BC000121,AIN371,DipICT,57.5,53.8,1,1.3,65.6,52.8,69.2,moderate
BC000122,PRG381,DipICT,100.0,62.5,3,7.7,87.9,85.8,94.6,moderate
BC000123,NWD371,BICT-Hons,30.0,20.0,2,0.0,23.4,25.0,40.0,low
BC000124,AIN371,BICT-Hons,64.3,45.4,4,2.7,27.5,30.0,51.9,high
BC000125,NWD371,DipICT,76.0,59.0,3,3.7,90.8,76.8,82.6,moderate
BC000126,PRG381,DipICT,71.5,81.5,2,7.0,67.4,70.8,67.1,moderate
BC000127,AIN371,BICT-Hons,48.3,39.3,4,4.1,19.4,57.7,47.0,high
BC000128,AIN371,BICT-Hons,89.1,79.4,0,8.3,83.4,83.0,100.0,low
BC000129,MAT371,BICT-Hons,92.8,71.4,2,6.4,76.2,66.8,61.5,moderate
BC000130,DBS371,BICT,44.8,54.2,4,0.3,30.4,59.0,51.0,high
BC000131,DBS371,DipICT,84.3,58.6,1,6.5,69.3,62.6,77.7,moderate
BC000132,DBS371,DipICT,51.4,64.2,4,7.6,61.0,57.2,72.7,high
BC000133,PRG381,BICT,100.0,95.9,0,9.7,66.0,74.8,100.0,low
BC000134,NWD371,BICT-Hons,42.1,42.5,4,7.4,55.1,34.7,74.4,high
BC000135,DBS371,BICT,70.7,100.0,0,8.1,54.8,68.6,100.0,low
BC000136,NWD371,BICT-Hons,72.3,87.6,2,6.8,70.7,49.7,69.3,moderate
BC000137,NWD371,BICT-Hons,41.8,34.2,2,2.9,43.2,34.6,40.9,high
BC000138,PRG381,DipICT,54.5,57.8,1,3.5,49.0,47.4,41.0,low
BC000139,PRG381,DipICT,58.9,85.3,0,6.4,84.6,72.0,87.2,low
BC000140,MAT371,BICT-Hons,72.3,72.8,1,6.2,66.7,83.7,91.7,low
BC000141,PRG381,BICT,80.9,87.9,0,9.9,67.2,84.9,100.0,low
BC000142,DBS371,DipICT,62.1,65.8,1,5.3,49.9,68.1,98.9,moderate
BC000143,NWD371,DipICT,65.5,54.2,2,6.7,20.1,72.7,65.3,moderate
BC000144,NWD371,BICT,59.3,52.3,5,1.4,56.1,25.0,67.0,high
BC000145,PRG381,DipICT,82.2,60.7,2,6.3,55.2,60.4,55.5,moderate
BC000146,DBS371,BICT-Hons,82.8,100.0,0,6.2,96.7,90.6,77.3,low
BC000147,NWD371,DipICT,65.8,68.0,2,5.3,45.2,81.1,80.9,moderate
BC000148,PRG381,BICT-Hons,48.2,66.8,0,5.4,39.6,52.6,56.2,high
BC000149,DBS371,DipICT,30.0,34.0,2,8.2,15.8,43.9,40.0,high
BC000150,AIN371,BICT,38.0,56.8,2,2.2,19.6,25.0,44.5,high
BC000151,AIN371,DipICT,64.9,59.5,0,2.9,77.5,50.1,68.3,low
BC000152,AIN371,BICT-Hons,49.5,51.9,4,3.2,59.8,34.5,57.0,high
BC000153,MAT371,BICT-Hons,81.9,66.3,2,3.8,60.3,53.3,76.1,moderate
BC000154,MAT371,BICT-Hons,53.4,70.5,3,4.7,36.9,45.8,56.9,high
BC000155,AIN371,BICT-Hons,53.2,74.6,2,4.6,54.0,63.7,57.9,moderate
BC000156,DBS371,BICT-Hons,58.3,72.4,2,6.0,34.8,57.7,84.3,moderate
BC000157,DBS371,BICT,49.7,55.3,1,4.0,34.2,25.0,45.9,high
BC000158,DBS371,BICT,56.2,56.0,2,4.9,28.6,62.3,64.5,moderate
BC000159,MAT371,BICT-Hons,30.0,39.5,1,2.1,41.3,46.9,48.5,high
BC000160,MAT371,BICT-Hons,96.2,85.6,1,8.1,93.8,66.0,82.3,low
BC000161,MAT371,BICT-Hons,58.2,56.3,3,2.2,37.6,48.4,65.0,high
BC000162,NWD371,DipICT,39.8,20.0,0,4.2,23.1,37.2,40.0,low
BC000163,DBS371,DipICT,57.6,69.2,0,1.8,60.1,41.6,76.7,moderate
BC000164,NWD371,DipICT,69.9,76.9,1,7.4,57.1,60.0,63.4,moderate
BC000165,PRG381,BICT-Hons,100.0,95.9,0,7.8,91.4,70.5,85.0,low
BC000166,NWD371,BICT,56.4,27.2,1,2.5,31.3,25.0,54.4,high
BC000167,DBS371,BICT,71.4,56.7,1,7.2,67.1,79.2,68.2,moderate
BC000168,MAT371,BICT-Hons,68.2,47.0,1,0.0,70.4,25.0,59.8,high
BC000169,PRG381,BICT,34.9,57.4,3,2.4,26.8,53.4,58.3,high
BC000170,MAT371,DipICT,72.6,33.2,3,2.7,32.5,53.2,47.8,high
BC000171,AIN371,DipICT,33.9,25.2,0,7.2,35.7,40.9,40.0,high
BC000172,AIN371,DipICT,65.5,32.8,1,4.5,38.3,46.4,55.3,moderate
BC000173,PRG381,DipICT,63.5,74.8,1,5.5,82.7,47.6,79.4,low
BC000174,MAT371,BICT-Hons,99.5,91.0,1,6.9,75.4,85.1,98.6,low
BC000175,DBS371,BICT-Hons,54.3,52.2,0,5.6,42.7,49.3,55.6,moderate
BC000176,AIN371,BICT-Hons,97.8,88.9,0,8.7,76.9,100.0,100.0,low
BC000177,AIN371,DipICT,64.2,99.3,1,6.5,71.0,66.5,88.2,low
BC000178,PRG381,BICT,59.7,52.2,2,0.0,52.8,47.4,74.2,high
BC000179,PRG381,DipICT,65.4,69.4,1,2.9,59.9,70.1,73.6,moderate
BC000180,MAT371,DipICT,37.4,53.6,2,5.2,25.4,58.2,80.9,high
BC000181,DBS371,BICT-Hons,72.8,48.4,3,6.7,75.7,70.0,80.0,low
BC000182,NWD371,DipICT,63.0,42.4,1,5.3,42.3,61.6,70.6,moderate
BC000183,PRG381,BICT-Hons,80.8,55.0,4,4.7,74.2,73.5,85.4,moderate
BC000184,NWD371,BICT,80.8,78.6,1,8.6,66.8,45.8,67.3,moderate
BC000185,AIN371,BICT-Hons,79.1,42.7,0,5.2,59.4,63.3,74.4,moderate
BC000186,PRG381,BICT,66.9,62.6,2,5.2,47.6,61.9,68.8,moderate
BC000187,AIN371,BICT,67.2,72.1,4,4.1,57.4,67.3,68.3,high
BC000188,DBS371,BICT,97.5,65.5,1,3.1,69.2,55.6,69.3,moderate
BC000189,PRG381,DipICT,44.4,55.4,1,2.7,58.1,43.4,55.1,moderate
BC000190,AIN371,BICT,94.3,82.6,1,11.8,48.5,64.8,75.5,low
BC000191,PRG381,BICT-Hons,50.9,65.2,1,6.1,65.3,56.0,89.7,moderate
BC000192,MAT371,BICT-Hons,34.1,50.2,1,8.2,54.1,58.7,48.7,moderate
BC000193,PRG381,BICT,50.3,65.1,1,4.0,57.6,65.5,76.5,moderate
BC000194,DBS371,BICT,60.1,66.7,0,4.2,67.9,72.3,81.5,low
BC000195,AIN371,BICT,70.3,63.8,3,5.6,51.9,52.0,75.6,moderate
BC000196,DBS371,BICT-Hons,100.0,100.0,0,5.6,100.0,86.7,95.3,low
BC000197,NWD371,DipICT,52.8,68.7,2,5.3,40.4,32.5,52.0,moderate
BC000198,AIN371,BICT-Hons,53.4,58.9,2,4.8,49.7,62.5,63.0,high
BC000199,NWD371,BICT,69.7,73.8,1,5.2,40.1,61.6,79.2,moderate
BC000200,AIN371,BICT-Hons,85.1,35.7,0,10.3,68.5,54.8,99.0,moderate
BC000201,NWD371,BICT,79.7,74.2,2,2.6,72.0,82.9,89.2,moderate
BC000202,DBS371,BICT-Hons,100.0,68.4,0,6.0,69.5,68.2,59.3,low
BC000203,AIN371,BICT-Hons,85.8,57.8,1,6.5,58.2,74.0,66.2,moderate
BC000204,NWD371,DipICT,70.5,92.0,2,7.3,57.8,32.1,73.8,moderate
BC000205,AIN371,DipICT,84.5,54.9,0,6.2,64.1,61.6,76.4,moderate
BC000206,MAT371,BICT-Hons,100.0,75.0,0,6.1,85.2,66.0,83.9,low
BC000207,AIN371,BICT-Hons,89.1,84.9,3,6.7,77.5,90.8,100.0,moderate
BC000208,MAT371,DipICT,70.5,95.2,0,7.2,51.7,49.1,75.6,low
BC000209,AIN371,DipICT,87.4,58.3,1,3.9,60.8,62.2,68.5,moderate
BC000210,MAT371,DipICT,70.5,48.6,2,4.7,28.8,65.7,48.6,moderate
BC000211,DBS371,DipICT,47.3,45.0,4,2.6,33.3,27.8,58.5,high
BC000212,DBS371,DipICT,51.2,79.0,1,7.0,71.6,48.0,58.6,moderate
BC000213,DBS371,BICT-Hons,38.7,58.8,0,3.3,48.8,62.4,40.0,moderate
BC000214,DBS371,DipICT,59.5,27.9,3,0.2,26.4,45.5,60.1,high
BC000215,NWD371,DipICT,66.9,83.9,2,5.2,80.6,83.4,76.2,moderate
BC000216,AIN371,BICT,52.7,53.8,2,0.5,33.2,36.8,59.0,high
BC000217,PRG381,BICT-Hons,53.1,71.9,3,5.1,58.0,42.5,61.8,high
BC000218,MAT371,BICT-Hons,78.1,100.0,2,6.2,71.9,77.7,92.9,low
BC000219,PRG381,BICT,73.4,79.9,0,7.2,55.5,81.5,98.6,low
BC000220,MAT371,BICT,76.6,64.5,1,5.7,69.6,67.8,80.0,moderate
BC000221,DBS371,BICT,58.2,84.3,2,3.9,57.5,77.6,73.9,moderate
BC000222,MAT371,BICT,94.2,66.5,0,9.0,87.8,87.3,100.0,low
BC000223,AIN371,DipICT,81.1,75.2,1,4.4,58.9,53.7,87.3,moderate
BC000224,NWD371,BICT,72.3,82.1,1,5.3,94.4,50.3,84.1,low
BC000225,PRG381,BICT-Hons,38.5,63.9,1,6.6,74.2,76.4,70.1,moderate
BC000226,NWD371,DipICT,100.0,77.1,0,8.4,63.7,95.9,100.0,low
BC000227,AIN371,DipICT,71.9,73.1,1,8.2,82.6,55.9,85.4,low
BC000228,MAT371,BICT,88.8,73.1,5,7.4,48.0,62.0,92.3,high
BC000229,PRG381,BICT-Hons,79.0,100.0,0,7.1,92.9,69.8,78.6,high
BC000230,MAT371,DipICT,30.0,56.6,2,2.4,41.9,56.2,45.3,high
BC000231,AIN371,DipICT,78.2,57.7,2,7.5,41.1,54.2,63.7,moderate
BC000232,AIN371,BICT-Hons,83.8,82.0,0,5.0,70.7,58.1,79.0,low
BC000233,AIN371,DipICT,73.0,48.5,1,4.8,78.8,38.0,40.0,moderate
BC000234,NWD371,DipICT,62.7,68.4,2,3.4,52.6,60.5,58.4,moderate
BC000235,AIN371,BICT-Hons,60.8,58.7,1,7.8,50.0,64.8,64.6,moderate
BC000236,MAT371,BICT,56.3,79.0,0,5.6,82.6,64.3,65.8,low
BC000237,DBS371,DipICT,81.8,34.7,1,5.0,53.6,78.2,78.9,moderate
BC000238,NWD371,DipICT,65.6,82.9,1,8.3,70.6,68.8,82.9,low
BC000239,MAT371,BICT,67.7,73.2,2,5.4,61.8,65.2,81.7,moderate
BC000240,DBS371,DipICT,68.5,86.9,1,5.2,79.1,100.0,79.7,low
BC000241,MAT371,BICT,90.4,90.6,0,5.7,84.9,100.0,100.0,low
BC000242,DBS371,BICT,36.2,66.8,1,3.4,47.4,61.5,64.4,moderate
BC000243,AIN371,BICT-Hons,84.7,49.9,2,7.3,54.7,47.3,69.4,moderate
BC000244,MAT371,BICT,37.7,79.1,3,4.1,49.5,49.5,88.9,high
BC000245,MAT371,BICT-Hons,64.9,93.0,0,7.0,82.8,76.6,80.9,low
BC000246,DBS371,BICT,56.0,77.1,4,3.6,60.6,53.3,70.1,high
BC000247,NWD371,BICT,95.0,65.8,1,10.1,51.6,82.9,73.8,low
BC000248,PRG381,BICT,57.3,58.8,0,2.0,65.8,67.7,75.1,moderate
BC000249,NWD371,BICT,54.6,47.9,4,6.1,59.1,37.6,62.5,high
BC000250,PRG381,BICT-Hons,87.8,69.5,2,7.2,56.8,55.9,70.8,moderate
BC000251,DBS371,BICT,82.8,99.7,1,5.0,97.1,78.9,88.9,high
BC000252,MAT371,BICT,55.6,32.0,3,6.6,40.8,49.8,40.0,high
BC000253,AIN371,DipICT,43.0,20.0,2,3.8,37.5,47.3,52.1,high
BC000254,NWD371,BICT,80.7,71.5,2,6.6,65.3,61.6,70.9,moderate
BC000255,PRG381,DipICT,60.8,77.5,1,7.6,56.2,61.3,74.6,moderate
BC000256,DBS371,BICT,58.5,40.2,3,7.8,64.5,69.0,44.8,high
BC000257,AIN371,BICT,58.1,59.3,1,7.3,69.0,52.2,73.2,moderate
BC000258,DBS371,BICT,100.0,72.1,0,3.4,98.2,77.9,83.2,high
BC000259,MAT371,BICT-Hons,64.0,63.8,1,6.5,72.8,46.6,76.1,moderate
BC000260,PRG381,BICT-Hons,30.0,20.0,1,2.6,49.6,25.0,40.0,high
BC000261,MAT371,DipICT,51.2,85.2,2,7.5,61.7,65.1,67.6,moderate
BC000262,AIN371,BICT,56.7,44.7,2,4.0,53.6,37.4,56.8,high
BC000263,MAT371,BICT,89.9,77.3,0,5.6,96.4,62.5,68.7,low
BC000264,PRG381,BICT,78.3,94.8,4,2.5,88.1,74.0,92.7,moderate
BC000265,AIN371,BICT-Hons,65.1,72.5,1,7.0,60.6,34.1,54.4,low
BC000266,AIN371,BICT-Hons,67.6,72.7,0,3.5,63.0,61.2,76.2,moderate
BC000267,PRG381,BICT,92.2,83.3,0,5.1,77.4,96.5,88.2,low
BC000268,AIN371,BICT,68.5,74.8,1,8.5,78.0,56.8,67.0,moderate
BC000269,AIN371,BICT-Hons,47.6,41.3,0,3.4,60.2,50.3,80.6,moderate
BC000270,AIN371,BICT,73.1,71.2,1,7.1,64.8,46.2,80.8,moderate
BC000271,NWD371,DipICT,49.2,47.2,0,4.5,47.5,67.6,67.6,moderate
BC000272,NWD371,BICT-Hons,41.7,49.7,3,2.4,68.3,34.0,68.9,high
BC000273,MAT371,DipICT,66.7,66.6,1,6.0,71.5,83.0,83.2,moderate
BC000274,DBS371,BICT-Hons,88.1,91.2,1,7.2,56.9,66.7,68.3,low
BC000275,MAT371,DipICT,81.0,75.4,0,6.8,64.2,72.7,68.5,low
BC000276,MAT371,DipICT,60.6,46.2,0,2.3,68.4,67.7,68.3,moderate
BC000277,DBS371,BICT,100.0,100.0,0,8.4,100.0,100.0,100.0,low
BC000278,MAT371,BICT,63.1,74.9,2,11.1,62.6,51.6,70.1,moderate
BC000279,AIN371,BICT-Hons,86.4,64.3,3,3.7,84.2,81.6,91.1,moderate
BC000280,NWD371,BICT,53.9,41.1,1,1.2,16.1,30.0,52.2,low
BC000281,NWD371,DipICT,46.6,45.3,1,2.5,48.4,36.1,57.1,high
BC000282,AIN371,BICT,79.2,56.0,2,7.4,64.5,57.8,74.7,moderate
BC000283,DBS371,BICT-Hons,62.3,55.9,1,6.8,59.8,41.0,76.9,moderate
BC000284,NWD371,DipICT,92.4,63.1,0,7.7,75.7,75.4,93.8,low
BC000285,DBS371,BICT,61.8,67.9,1,7.9,64.9,80.8,93.2,low
BC000286,MAT371,BICT,76.5,85.3,0,7.8,83.1,71.6,76.2,low
BC000287,NWD371,BICT-Hons,86.7,62.6,1,7.5,70.8,100.0,81.5,low
BC000288,DBS371,DipICT,57.6,71.2,2,4.0,41.5,38.8,67.4,moderate
BC000289,MAT371,BICT,41.3,43.5,1,3.4,51.1,80.3,75.0,moderate
BC000290,MAT371,BICT,71.0,34.9,1,2.4,48.1,57.2,56.9,high
BC000291,AIN371,DipICT,84.6,73.5,1,7.3,98.1,85.6,92.1,low
BC000292,MAT371,BICT,85.7,58.1,2,5.7,71.1,85.3,88.9,moderate
BC000293,AIN371,DipICT,96.3,59.5,1,8.4,90.9,85.4,95.9,low
BC000294,DBS371,BICT,66.3,60.6,0,4.3,58.8,57.7,66.6,moderate
BC000295,MAT371,DipICT,41.4,51.3,4,3.7,44.6,29.6,49.2,high
BC000296,DBS371,BICT-Hons,53.8,20.0,1,3.4,36.7,54.9,60.4,high
BC000297,AIN371,BICT,61.9,33.1,4,1.2,28.9,44.1,59.0,high
BC000298,PRG381,BICT,54.2,56.9,0,5.7,82.2,52.8,68.1,moderate
BC000299,MAT371,BICT-Hons,43.9,50.3,2,2.7,62.1,64.7,56.5,high
BC000300,NWD371,DipICT,67.4,69.1,3,6.2,76.3,63.5,65.2,moderate
BC000301,NWD371,DipICT,67.6,51.5,2,5.9,79.9,67.0,73.8,moderate
BC000302,PRG381,DipICT,100.0,100.0,0,10.0,100.0,100.0,99.2,low
BC000303,NWD371,BICT-Hons,56.3,74.0,2,9.4,89.4,67.2,75.2,moderate
BC000304,PRG381,DipICT,60.0,73.8,0,4.9,36.5,68.5,87.5,moderate
BC000305,AIN371,BICT,60.1,39.1,3,1.7,31.4,58.2,80.9,high
BC000306,DBS371,BICT-Hons,100.0,64.7,0,9.4,90.5,70.6,100.0,low
BC000307,DBS371,DipICT,87.3,75.1,0,8.8,96.1,92.6,100.0,low
BC000308,AIN371,BICT,68.5,49.4,1,6.0,82.1,65.8,84.4,moderate
BC000309,AIN371,BICT,76.0,92.4,2,9.5,68.6,79.3,87.4,low
BC000310,MAT371,BICT,41.6,59.2,4,3.6,41.3,52.0,44.8,high
